html_file,table_num,属性名,説明,属性の型
KsjTmplt-A12.html,1,都道府県コード,都道府県を一意に識別するために付された番号。,コードリスト「都道府県コード」
KsjTmplt-A12.html,1,支庁区分コード,支庁区域を一意に識別するために付された番号。,コードリスト「支庁区分コード」
KsjTmplt-A12.html,1,農業地区分コード,農業地域を一意に識別するために付された番号。,コードリスト「農業地域区分コード」
KsjTmplt-A13.html,1,範囲,森林地域として定義された領域。,曲面型（GM_Surface）
KsjTmplt-A13.html,1,都道府県コード,都道府県を一意に識別するために付された番号。,コードリスト「都道府県コード」
KsjTmplt-A13.html,1,支庁区コード,支庁区域を一意に識別するために付された番号。,コードリスト「支庁区分コード」
KsjTmplt-A13.html,1,森林地域区分コード,森林地域を一意に識別するために付された番号。,コードリスト「森林地域区分コード」
KsjTmplt-A15.html,1,鳥獣保護区,鳥獣保護区の範囲の広がり,曲面型（GM_Surface）
KsjTmplt-A15.html,2,鳥獣保護区名（A15_001）,鳥獣保護区の名称,文字列型（CharacterString）
KsjTmplt-A15.html,2,都道府県コード（A15_002）,鳥獣保護区が属する都道府県の都道府県コ−ド(2 桁),コードリスト「都道府県コード」
KsjTmplt-A15.html,2,指定機関：指定機関コード（A15_003）,国指定及び県指定の区分1：国指定　2：県指定,コードリスト「指定機関コード」
KsjTmplt-A15.html,2,保護区分：保護区分コード（A15_004）,鳥獣保護区と特別保護区域，休猟区の区別1：鳥獣保護区　2：特別保護地区　3：休猟区　4：特例休猟区,コードリスト「保護区分コード」
KsjTmplt-A15.html,2,指定日（A15_005）,鳥獣保護区が指定された年月日,時間型（TM_Instant）
KsjTmplt-A15.html,2,解除日（A15_006）,鳥獣保護区の指定が解除される年月日,時間型（TM_Instant）
KsjTmplt-A16.html,1,DIDid,地域コード（5桁）＋人口集中地区符号（1桁）。,整数型
KsjTmplt-A16.html,1,DID範囲,DIDの境界線。,曲面型（GM_Surface）
KsjTmplt-A16.html,1,都道府県コード,DIDが属する県の地域コ−ド。,コードリスト「都道府県コード」
KsjTmplt-A16.html,1,市区町村コード,DIDが属する市区町村の地域コ−ド。,整数型
KsjTmplt-A16.html,1,市区町村名称,DIDが属する市区町村名称。,文字列型
KsjTmplt-A16.html,1,人口集中地区符合,同一市区町村に2か所以上の人口集中地区が設定されている場合に、人口の多い順に付した符号。,整数型 ※同一市区町村内に１箇所のみのDIDについては、”1“とする。
KsjTmplt-A16.html,1,人口,当該DIDの人口。,整数型
KsjTmplt-A16.html,1,面積,当該DIDの面積。単位は「km2」とする。,実数型
KsjTmplt-A16.html,1,前回人口,当該DIDの前回国勢調査時の人口。,整数型 ※前回の数値が無い場合、“NULL”とする。
KsjTmplt-A16.html,1,前回面積,当該DIDの前回国勢調査時の面積。単位は「km2」とする。,実数型 ※前回の数値が無い場合、“NULL”とする。
KsjTmplt-A16.html,1,全域に占める人口集中地区の人口割合,当該DIDの人口を市区町村人口で除したもの。単位は「%」とする。,実数型
KsjTmplt-A16.html,1,全域に占める人口集中地区の面積割合,当該DIDの面積を市区町村面積で除したもの。単位は「%」とする。,実数型
KsjTmplt-A16.html,1,国勢調査年度,国勢調査が実施された年度。,時間型（TM_Instant）
KsjTmplt-A17-v4_0.html,1,範囲,過疎地域として指定された区域,曲面型（GM_Surface）
KsjTmplt-A17-v4_0.html,1,過疎ID,過疎地域を一意に識別するためのコード,文字列型
KsjTmplt-A17-v4_0.html,1,行政区域コード,都道府県コードと市区町村コードからなる，行政区を特定するためのコード,コードリスト「行政コード」
KsjTmplt-A17-v4_0.html,1,都道府県名,データ整備時点の当該区域を含む都道府県名称,文字列型
KsjTmplt-A17-v4_0.html,1,支庁・振興局名,データ整備時点の当該区域を含む北海道の振興局の名称,文字列型
KsjTmplt-A17-v4_0.html,1,郡・政令都市名,データ整備時点の当該区域を含む郡・政令都市名称,文字列型
KsjTmplt-A17-v4_0.html,1,市区町村名,データ整備時点の市区町村名称,文字列型
KsjTmplt-A17-v4_0.html,1,原典市区町村名,原典資料が作成された時点の当該区域を含む市区町村名称,文字列型
KsjTmplt-A17-v4_0.html,1,旧市町村名,原典資料に旧市町村名で記される当該区域の名称,文字列型
KsjTmplt-A17-v4_0.html,1,過疎区分コード,根拠条文に基づく過疎地域の区分,コードリスト「過疎区分コード」
KsjTmplt-A18-v4_0.html,1,範囲,半島振興対策実施地域として指定された区域,曲面型（GM_Surface）
KsjTmplt-A18-v4_0.html,1,半島ID,半島振興対策実施地域を一意に識別するためのコード,文字列型
KsjTmplt-A18-v4_0.html,1,行政区域コード,都道府県コードと市区町村コードからなる，行政区を特定するためのコード,コードリスト「行政コード」
KsjTmplt-A18-v4_0.html,1,都道府県名,データ整備時点の当該区域を含む都道府県名称,文字列型
KsjTmplt-A18-v4_0.html,1,支庁・振興局名,データ整備時点の当該区域を含む北海道の振興局の名称,文字列型
KsjTmplt-A18-v4_0.html,1,郡・政令都市名,データ整備時点の当該区域を含む郡・政令都市名称,文字列型
KsjTmplt-A18-v4_0.html,1,市区町村名,データ整備時点の市区町村名称,文字列型
KsjTmplt-A18-v4_0.html,1,原典市区町村名,原典資料が作成された時点の当該区域を含む市区町村名称,文字列型
KsjTmplt-A18-v4_0.html,1,旧市町村名,地域が指定された時点の市町村名称,文字列型
KsjTmplt-A18-v4_0.html,1,指定地域名,地域が指定された時点に付与された指定地域の名称,文字列型
KsjTmplt-A18-v4_0.html,1,指定日,地域が指定された年月日,時間型（TM_Instant）
KsjTmplt-A18s-a.html,1,半島振興対策実施地域,属性情報については、属性情報一覧を参照,NA
KsjTmplt-A18s-a.html,1,人口・世帯数,属性情報については、属性情報一覧を参照,NA
KsjTmplt-A18s-a.html,1,産業,属性情報については、属性情報一覧を参照,NA
KsjTmplt-A19.html,1,範囲,離島振興対策実施地域として定義された領域。,曲面型（GM_Surface）
KsjTmplt-A19.html,1,都道府県コード,都道府県を一意に識別するために付された番号。,コードリスト「都道府県コード」
KsjTmplt-A19.html,1,支庁区分コード,支庁区域を一意に識別するために付された番号。,コードリスト「支庁区分コード」
KsjTmplt-A19.html,1,離島区分コード,根拠条文に基づく離島地域の区分。,コードリスト「離島区分コード」
KsjTmplt-A19s.html,1,離島振興対策実施地域,属性情報については、属性情報一覧を参照,NA
KsjTmplt-A19s.html,1,人口・世帯数,属性情報については、属性情報一覧を参照,NA
KsjTmplt-A19s.html,1,都市基盤1,属性情報については、属性情報一覧を参照,NA
KsjTmplt-A19s.html,1,都市基盤2,属性情報については、属性情報一覧を参照,NA
KsjTmplt-A19s.html,1,産業,属性情報については、属性情報一覧を参照,NA
KsjTmplt-A20.html,1,範囲,奄美群島として定義された領域。,曲面型（GM_Surface）
KsjTmplt-A20.html,1,都道府県コード,都道府県を一意に識別するために付された番号。,コードリスト「都道府県コード」
KsjTmplt-A20.html,1,支庁区分コード,支庁区域を一意に識別するために付された番号。,コードリスト「支庁区分コード
KsjTmplt-A20s.html,1,奄美群島,属性情報は、属性情報一覧を参照。,NA
KsjTmplt-A20s.html,1,人口・世帯数,属性情報は、属性情報一覧を参照。,NA
KsjTmplt-A20s.html,1,都市基盤1,属性情報は、属性情報一覧を参照。,NA
KsjTmplt-A20s.html,1,都市基盤2,属性情報は、属性情報一覧を参照。,NA
KsjTmplt-A20s.html,1,産業,属性情報は、属性情報一覧を参照。,NA
KsjTmplt-A21.html,1,範囲,小笠原諸島として定義された領域。,曲面型（GM_Surface）
KsjTmplt-A21.html,1,都道府県コード,都道府県を一意に識別するために付された番号。,コードリスト「都道府県コード」
KsjTmplt-A21.html,1,支庁区分コード,支庁区域を一意に識別するために付された番号。,コードリスト「支庁区分コード」
KsjTmplt-A21s.html,1,小笠原諸島,属性情報は、属性情報一覧を参照,NA
KsjTmplt-A21s.html,1,人口・世帯数,属性情報は、属性情報一覧を参照,NA
KsjTmplt-A21s.html,1,都市基盤1,属性情報は、属性情報一覧を参照,NA
KsjTmplt-A21s.html,1,都市基盤2,属性情報は、属性情報一覧を参照,NA
KsjTmplt-A21s.html,1,産業,属性情報は、属性情報一覧を参照,NA
KsjTmplt-A22-m.html,1,気象観測点,気象庁のアメダス観測点、国土交通省、道府県及び市町村が管理する気象観測点のうち、積雪深、降雪量、気温又は風速を観測している施設の位置,点型（GM_Point）
KsjTmplt-A22-m.html,2,観測点名（A22_000001）,気象観測点の名称で、その地域を代表する名称。,文字列型（CharacterString）
KsjTmplt-A22-m.html,2,観測点の所在地（A22_000002）,観測点の住所。,文字列型（CharacterString）
KsjTmplt-A22-m.html,2,観測点の管理者（A22_000003）,地方公共団体や国道事務所等の気象観測点の管理者の名称,文字列型（CharacterString）
KsjTmplt-A22-m.html,2,位置特定レベル（A22_500001）,気象観測点の位置の精度レベル,コードリスト「位置特定レベル」
KsjTmplt-A22-m.html,3,各年度別最深積雪（平均値）（A22_010001）,"最古年〜平成25（2013）年の各年度の最深積雪の平均値（cm）
※最深積雪が欠測している年度は、平均値の計算対象から除外",実数型（Real）
KsjTmplt-A22-m.html,3,各年度別最深積雪（最大値）（A22_010002）,最古年〜平成25（2013）年の各年度の最深積雪の中の最大値（cm）,実数型（Real）
KsjTmplt-A22-m.html,3,各年度別最深積雪（A22_01XXXX）XXXX：西暦,"最古年〜平成25（2013）年における各年度別の積雪深の最大値（cm）
※欠測の場合：99999998
　 統計資料がない場合：99999999",実数型（Real）
KsjTmplt-A22-m.html,4,各年度別累計降雪量（平均値）（A22_020001）,"最古年〜平成25（2013）年の各年度の累計降雪量の平均値（cm）
※累計降雪量が欠測している年度は、平均値の計算対象から除外",実数型（Real）
KsjTmplt-A22-m.html,4,各年度別累計降雪量（最大値）（A22_020002）,最古年〜平成25（2013）年の各年度の累計降雪量の中の最大値（cm）,実数型（Real）
KsjTmplt-A22-m.html,4,各年度別累計降雪量（A22_02XXXX）XXXX：西暦,"最古年〜平成25（2013）年における各年度別の累計降雪量（cm）
※欠測の場合：99999998
　 統計資料がない場合：99999999",実数型（Real）
KsjTmplt-A22-m.html,5,各年度別最低気温（平均値）（A22_030001）,最古年〜平成25（2013）年の各年度の最低気温の平均値（℃）,実数型（Real）
KsjTmplt-A22-m.html,5,各年度別最低気温（最低値）（A22_030002）,最古年〜平成25（2013）年の各年度の最低気温の中の最低値（℃）,実数型（Real）
KsjTmplt-A22-m.html,5,各年度別最低気温（A22_03XXXX）XXXX：西暦,"最古年〜平成25（2013）年における各年度別の気温の最低値（℃）
※欠測の場合：99999998
　 統計資料がない場合：99999999",実数型（Real）
KsjTmplt-A22-m.html,6,各年度別平均風速（平均値）（A22_040001）,最古年〜平成25（2013）年の各年度の平均風速（月別の平均風速値、または日別値から算出）を平均した値（m/s）,実数型（Real）
KsjTmplt-A22-m.html,6,各年度別平均風速（最大値）（A22_040002）,最古年〜平成25（2013）年の各年度の中の平均風速の最大値（m/s）,実数型（Real）
KsjTmplt-A22-m.html,6,各年度別平均風速（A22_04XXXX）XXXX：西暦,"最古年〜平成25（2013）年における各年度別の平均風速（m/s）
※欠測の場合：99999998
　 統計資料がない場合：99999999",実数型（Real）
KsjTmplt-A22-m.html,7,雪害（A22-m-14_SnowDisaster_XX）XX:都道府県コード,豪雪地帯対策特別措置法（昭和37年4月5日法律73号）に基づき地域指定された市町村および旧市町村の領域,曲面型（GM_Surface）
KsjTmplt-A22-m.html,8,豪雪地帯ID（A22_100001）,豪雪地帯を一意に識別するためのコード,文字列型（CharacterString）
KsjTmplt-A22-m.html,8,地域指定時の市区町村名（A22_100002）,地域指定された市町村及び旧市町村の名称,文字列型（CharacterString）
KsjTmplt-A22-m.html,8,データ整備時の行政コード（A22_100003）,"都道府県コードと市区町村コードからなる、データ整備時点の行政区を特定するためのコード。
JIS規格（JIS X 0401，JIS X 0402）に準拠",文字列型（CharacterString）
KsjTmplt-A22-m.html,8,集計単位となる団体名（雪害）（A22_100004）,データ整備の集計単位となる旧市町村・現市町村・消防本部・広域消防本部のいずれか,文字列型（CharacterString）
KsjTmplt-A22-m.html,8,集計単位フラグ（雪害）（A22_100005）,雪害データの参照資料の集計単位に応じ付与したコード,コードリスト「集計単位フラグ」
KsjTmplt-A22-m.html,8,集計単位となる団体名（除雪ボランティア）（A22_100006）,データ整備の集計単位となる旧市町村・現市町村・除雪ボランティアの名称のいずれか,文字列型（CharacterString）
KsjTmplt-A22-m.html,8,集計単位フラグ（雪害）（A22_100007）,雪害データの参照資料の集計単位に応じ付与したコード,コードリスト「集計単位フラグ」
KsjTmplt-A22-m.html,8,各年別死者数（A22_10XXXX）XXXX：西暦,"最古年〜平成25（2013）年の各年別の雪害による死者数
死者数が不明の場合は、「-1」",整数型（Integer）
KsjTmplt-A22-m.html,8,各年別行方不明者数（A22_11XXXX）XXXX：西暦,"最古年〜平成25（2013）年の各年別の雪害による行方不明者数
行方不明者数が不明の場合は、「-1」",整数型（Integer）
KsjTmplt-A22-m.html,8,各年別重傷者数（A22_12XXXX）XXXX：西暦,"最古年〜平成25（2013）年の各年別の雪害による行方不明者数
行方不明者数が不明の場合は、「-1」",整数型（Integer）
KsjTmplt-A22-m.html,8,各年別軽傷者数（A22_13XXXX）XXXX：西暦,"最古年〜平成25（2013）年の各年別の雪害による軽傷者数
軽傷者数が不明の場合は、「-1」",整数型（Integer）
KsjTmplt-A22-m.html,8,各年別住家全壊棟数（A22_14XXXX）XXXX：西暦,"最古年〜平成25（2013）年の各年別の雪害による住家の全壊棟数
住家全壊棟数が不明の場合は、「-1」",整数型（Integer）
KsjTmplt-A22-m.html,8,各年別住家半壊棟数（A22_15XXXX）XXXX：西暦,"最古年〜平成25（2013）年の各年別の雪害による住家の半壊棟数
住家半壊棟数が不明の場合は、「-1」",整数型（Integer）
KsjTmplt-A22-m.html,8,各年別住家一部破損数（A22_16XXXX）XXXX：西暦,"各年の雪害による住家の一部破損棟数
不明の場合は、「-1」",整数型（Integer）
KsjTmplt-A22-m.html,8,各年別除雪ボランティア団体数（A22_17XXXX）XXXX：西暦,"社会福祉協議会に登録されている除雪ボランティア団体数
不明の場合は、「-1」",整数型（Integer）
KsjTmplt-A22-m.html,8,各年別除雪ボランティア登録人数（A22_18XXXX）XXXX：西暦,"社会福祉協議会に登録されている除雪ボランティア登録人数
不明の場合は、「-1」",整数型（Integer）
KsjTmplt-A22-m.html,8,各年別除雪ボランティア活動回数（A22_19XXXX）XXXX：西暦,"社会福祉協議会に登録されている除雪ボランティア活動の年別回数
不明の場合は、「-1」",整数型（Integer）
KsjTmplt-A22-m.html,8,各年別除雪ボランティアの延べ参加人数（A22_20XXXX）XXXX：西暦,"社会福祉協議会に登録されている除雪ボランティア活動の年別参加人数
不明の場合は、「-1」",整数型（Integer）
KsjTmplt-A22-m.html,9,利雪施設名（A22_40001）,利雪施設の正式名称,文字列型（CharacterString）
KsjTmplt-A22-m.html,9,利雪施設の設置者（A22_40002）,利雪施設を設置した者の名称,文字列型（CharacterString）
KsjTmplt-A22-m.html,9,利雪施設の所在地（A22_40003）,利雪施設の住所,文字列型（CharacterString）
KsjTmplt-A22-m.html,9,冷熱源確保方式（A22_40004）,利雪施設の冷熱源を確保し保存する方法,文字列型（CharacterString）
KsjTmplt-A22-m.html,9,冷熱供給方式（A22_40005）,利雪施設の冷却の対象となる貯蔵庫や室内に、雪氷の冷熱を供給する方法,文字列型（CharacterString）
KsjTmplt-A22-m.html,9,完成年度（A22_40006）,利雪施設が設置された年度（西暦４桁）,整数型（Integer）
KsjTmplt-A22-m.html,9,施設の規模（A22_40007）,利雪施設の規模（構造、階数、延床面積等）,文字列型（CharacterString）
KsjTmplt-A22-m.html,9,貯雪量（A22_40008）,利雪施設の貯雪量（トン）,整数型（Integer）
KsjTmplt-A22-m.html,9,位置特定レベル（A22_40009）,利雪施設の空間属性の位置属性レベル応じ付与したコード,コードリスト「位置特定レベル」
KsjTmplt-A22.html,1,範囲,豪雪地帯として定義された領域。,曲面型（GM_Surface）
KsjTmplt-A22.html,1,都道府県コード,都道府県を一意に識別するために付された番号。,コードリスト「都道府県コード」
KsjTmplt-A22.html,1,支庁区分コード,支庁区域を一意に識別するために付された番号。,コードリスト「支庁区分コード」
KsjTmplt-A22.html,1,豪雪区分コード,豪雪地帯の分類区分,コードリスト「豪雪区分コード」
KsjTmplt-A22s.html,1,豪雪地帯,属性情報は、属性情報一覧を参照,NA
KsjTmplt-A22s.html,1,人口・世帯数,属性情報は、属性情報一覧を参照,NA
KsjTmplt-A22s.html,1,産業,属性情報は、属性情報一覧を参照,NA
KsjTmplt-A23-v3_0.html,1,範囲,特殊土壌地帯として定義された領域,曲面型（GM_Surface）
KsjTmplt-A23-v3_0.html,1,特殊土壌ID,特殊土壌地帯を一意に識別するためのコード,文字列型
KsjTmplt-A23-v3_0.html,1,行政区域コード,都道府県コードと市区町村コードからなる，行政区を特定するためのコード,コードリスト「行政コード」
KsjTmplt-A23-v3_0.html,1,都道府県名,データ整備時点の当該区域を含む都道府県名称,文字列型
KsjTmplt-A23-v3_0.html,1,支庁・振興局名,データ整備時点の当該区域を含む北海道の振興局の名称,文字列型
KsjTmplt-A23-v3_0.html,1,郡・政令都市名,データ整備時点の当該区域を含む郡・政令都市名称,文字列型
KsjTmplt-A23-v3_0.html,1,市区町村名,データ整備時点の市区町村名称,文字列型
KsjTmplt-A23-v3_0.html,1,原典市区町村名,原典資料が作成された時点の当該区域を含む市区町村名称,文字列型
KsjTmplt-A23-v3_0.html,1,旧市町村名,地域が指定された時点の市町村名称,文字列型
KsjTmplt-A23-v3_0.html,1,特殊土壌区分コード,特殊土壌地帯の分類区分,コードリスト「特殊土壌区分コード」
KsjTmplt-A24.html,1,範囲,振興山村として定義された領域。,曲面型（GM_Surface）
KsjTmplt-A24.html,1,都道府県コード,都道府県を一意に識別するために付された番号。,コードリスト「都道府県コード」
KsjTmplt-A24.html,1,支庁区分コード,支庁区域を一意に識別するために付された番号。,コードリスト「支庁区分コード」
KsjTmplt-A25.html,1,範囲,特定農山村地域として定義された領域。,曲面型（GM_Surface）
KsjTmplt-A25.html,1,都道府県コード,都道府県を一意に識別するために付された番号。,コードリスト「都道府県コード」
KsjTmplt-A25.html,1,支庁区分コード,支庁区域を一意に識別するために付された番号。,コードリスト「支庁区分コード」
KsjTmplt-A25.html,1,特定農山村地域区分コード,特定農山村の分類区分,コードリスト「特定農山村地域区分コード」
KsjTmplt-A26.html,1,土砂災害危険箇所（面）,土砂災害危険箇所（土石流危険渓流、急傾斜地崩壊危険箇所、地すべり危険箇所）、雪崩危険箇所の範囲の広がり。,曲面型（GM_Surface）
KsjTmplt-A26.html,1,土砂災害危険箇所（線）,土砂災害危険箇所（土石流危険渓流、急傾斜地崩壊危険箇所、地すべり危険箇所）、雪崩危険箇所の形状。,曲面型（GM_Surface）
KsjTmplt-A26.html,1,土砂災害危険箇所（点）,土砂災害危険箇所（土石流危険渓流、急傾斜地崩壊危険箇所、地すべり危険箇所）、雪崩危険箇所の代表点。,点型（GM_Point）
KsjTmplt-A26.html,2,危険箇所種別コード,危険箇所の種別による分類コード。,コードリスト「危険箇所種別コード」
KsjTmplt-A26.html,2,備考,原典資料にある当該危険箇所の番号、名称、ＩＤ等の情報。,文字列型(CharacterString)
KsjTmplt-A27-v2_1.html,1,地点,小学校の位置,点型（GM_Point）
KsjTmplt-A27-v2_1.html,1,"市区町村コード
              (A27_005)",小学校が属する行政コード,コードリスト「行政コード」
KsjTmplt-A27-v2_1.html,1,"設置主体
              (A27_006)",小学校の設置主体,文字列型(CharacterString)
KsjTmplt-A27-v2_1.html,1,"名称
              (A27_007)",小学校の名称,文字列型(CharacterString)
KsjTmplt-A27-v2_1.html,1,"所在地
              (A27_008)",小学校の設置所在地,文字列型(CharacterString)
KsjTmplt-A27-v2_1.html,2,範囲,通学区域の範囲,面型（GM_Surface）
KsjTmplt-A27-v2_1.html,2,"市区町村コード
              (A27_001)",小学校が属する行政コード,コードリスト「行政コード」
KsjTmplt-A27-v2_1.html,2,"設置主体
              (A27_002)",小学校の設置主体,文字列型(CharacterString)
KsjTmplt-A27-v2_1.html,2,"名称
              (A27_003)",小学校の名称,文字列型(CharacterString)
KsjTmplt-A27-v2_1.html,2,"所在地
              (A27_004)",小学校の設置所在地,文字列型(CharacterString)
KsjTmplt-A28.html,1,範囲,世界自然遺産として定義された領域。,曲面型（GM_Surface）
KsjTmplt-A28.html,1,世界自然遺産名称コード,世界自然遺産を一意に識別するために付された番号。,コードリスト「世界自然遺産コード」
KsjTmplt-A29.html,1,範囲,用途地域として用途が指定された区域,曲面型（GM_Surface）
KsjTmplt-A29.html,1,行政区域コード(A29_001),用途地域がある市区町村の行政コード,コードリスト「行政コード」
KsjTmplt-A29.html,1,都道府県名(A29_002),用途地域がある都道府県の名称,文字列型(CharacterString)
KsjTmplt-A29.html,1,市区町村名(A29_003),用途地域がある市区町村の名称,文字列型(CharacterString)
KsjTmplt-A29.html,1,用途地域分類(A29_004),用途地域分類コード,コードリスト「用途地域分類コード」
KsjTmplt-A29.html,1,用途地域名(A29_005),用途地域の名称,文字列型(CharacterString)
KsjTmplt-A29.html,1,建ぺい率(A29_006),用途地域別の建ぺい率(%)。不明の時は'9999'とする,整数型(Decimal)
KsjTmplt-A29.html,1,容積率(A29_007),用途地域別の容積率(%)。不明の時は'9999'とする,整数型(Decimal)
KsjTmplt-A29.html,1,総括図作成団体名(A29_008),都市計画総括図の作成団体名,文字列型(CharacterString)
KsjTmplt-A29.html,1,総括図作成年(A29_009),都市計画総括図の作成年（西暦）,時間型(TM_Instant)
KsjTmplt-A29.html,1,備考(A29_010),用途地域に関する備考,文字列型(CharacterString)
KsjTmplt-A30a5.html,1,発生場所（都道府県）(A30a5_001),当該土砂災害や雪崩が発生した都道府県名,文字型
KsjTmplt-A30a5.html,1,発生場所（郡・市・区・町・村）(A30a5_002),当該土砂災害や雪崩が発生した市区町村名,文字型
KsjTmplt-A30a5.html,1,発生日(A30a5_003),当該土砂災害や雪崩が発生した年月日,文字型
KsjTmplt-A30a5.html,1,災害の種類(A30a5_004),当該土砂災害や雪崩の詳細な種類,列挙型
KsjTmplt-A30a5.html,1,最大24時間雨量(A30a5_005),当該土砂災害や雪崩が発生した際の24時間雨量の最大値（mm/24hr）,実数型
KsjTmplt-A30a5.html,1,最大時間雨量(A30a5_006),当該土砂災害や雪崩が発生した際の1時間雨量の最大値（mm/hr）,実数型
KsjTmplt-A30a5.html,1,勾配(A30a5_007),当該土砂災害や雪崩が発生した際の斜面勾配（○度もしくは１／○）,整数型
KsjTmplt-A30a5.html,1,流出土砂量(A30a5_008),当該土砂災害や雪崩が発生した際に流出した土砂量（ｍ3）,整数型
KsjTmplt-A30a5.html,1,地すべり・雪崩の長さ(A30a5_009),当該土砂災害や雪崩が発生した際の移動長さ（ｍ）,整数型
KsjTmplt-A30a5.html,1,空間属性（メッシュ）(A30a5_010),当該土砂災害や雪崩の発生位置を示すメッシュ番号,整数型
KsjTmplt-A30b.html,1,竜巻等の突風番号(A30b_001),NA,整数型
KsjTmplt-A30b.html,1,竜巻ダウンバースト区別(A30b_002),竜巻・ダウンバーストの区別,列挙型
KsjTmplt-A30b.html,1,発生_日時(A30b_003),竜巻やダウンバースト等の突風が発生した日時,文字型
KsjTmplt-A30b.html,1,発生_誤差(A30b_004),竜巻やダウンバースト等の突風が発生した日時の誤差範囲,文字型
KsjTmplt-A30b.html,1,発生_都道府県名(A30b_005),竜巻やダウンバースト等の突風が発生した都道府県名,文字型
KsjTmplt-A30b.html,1,発生_市区町村名(A30b_006),竜巻やダウンバースト等の突風が発生した市区町村名,文字型
KsjTmplt-A30b.html,1,発生_番地(A30b_007),竜巻やダウンバースト等の突風が発生した番地,文字型
KsjTmplt-A30b.html,1,消滅_日時(A30b_008),竜巻やダウンバースト等の突風が消滅した日時,文字型
KsjTmplt-A30b.html,1,消滅_誤差(A30b_009),竜巻やダウンバースト等の突風が消滅した日時の誤差範囲,文字型
KsjTmplt-A30b.html,1,消滅_都道府県名(A30b_010),竜巻やダウンバースト等の突風が消滅した都道府県名,文字型
KsjTmplt-A30b.html,1,消滅_市区町村名(A30b_011),竜巻やダウンバースト等の突風が消滅した市区町村名,文字型
KsjTmplt-A30b.html,1,消滅_番地(A30b_012),竜巻やダウンバースト等の突風が消滅した番地,文字型
KsjTmplt-A30b.html,1,藤田スケール（Fスケール）(A30b_013),竜巻やダウンバースト等の風速を、構造物などの被害調査から簡便に推定するために、シカゴ大学の藤田哲也氏により1971年に考案された風速のスケール,列挙型
KsjTmplt-A30b.html,1,被害域_幅(A30b_014),当該竜巻等の突風による被害域の幅（ｍ）,文字型
KsjTmplt-A30b.html,1,被害域_長さ(A30b_015),当該竜巻等の突風による被害域の長さ（ｋｍ）,文字型
KsjTmplt-A30b.html,1,移動_方向1(A30b_016),当該竜巻等の突風の移動方向,列挙型
KsjTmplt-A30b.html,1,移動_方向2(A30b_017),当該竜巻等の突風の移動方向,列挙型
KsjTmplt-A30b.html,1,移動_速度(A30b_018),当該竜巻等の突風の移動速度（km/h）,整数型
KsjTmplt-A30b.html,1,継続時間(A30b_019),当該竜巻等の突風の継続時間（分）,整数型
KsjTmplt-A30b.html,1,x回転方向(A30b_020),当該竜巻等の突風の回転方向,列挙型
KsjTmplt-A30b.html,1,発生地点区別(A30b_021),当該竜巻等の突風の発生地点,列挙型
KsjTmplt-A30b.html,1,総観場_1(A30b_022),当該竜巻等の突風の総観場,列挙型
KsjTmplt-A30b.html,1,総観場_2(A30b_023),当該竜巻等の突風の総観場,列挙型
